serie,titre,poids,contribution,part_du_risque,rang
P1_cons,MRVL,0.0017094311029434374,0.0007500284583807195,0.0018299962009274103,37
P1_cons,HPE,0.0030441818713954185,0.0006988018836928775,0.0017050083607757641,38
P1_cons,AMAT,0.0014956383310037013,0.0006807353310748001,0.0016609277365200981,39
P1_cons,GOOGL,0.006879233911323332,0.0006694513984225144,0.0016333960426830603,40
P1_cons,GOOG,0.006854886395470048,0.0006493453000667585,0.0015843391259816018,41
P1_cons,LII,0.0048083941182936575,0.0006016303316132201,0.0014679192621462175,42
P1_cons,TDY,0.004983933422429754,0.0005943918767823476,0.0014502581391673912,43
P1_cons,CARR,0.0037190928483000264,0.000545264334557671,0.0013303917332630655,44
P1_cons,ARES,0.00477036727597871,0.0004953188277519768,0.0012085295736522907,45
P1_cons,HUBB,0.002520598880403303,0.00048670376708000927,0.0011875096668416921,46
P1_cons,TT,0.0030884002484195456,0.000433240255893952,0.0010570639200630258,47
P1_cons,AMZN,0.0044263161958896305,0.0003874655278206159,0.0009453780532979951,48
P1_cons,NRG,0.001578259033014948,0.0003849220812482222,0.0009391722920195614,49
P1_cons,FSLR,0.0014890305874515613,0.00034036897497245874,0.0008304670631537307,50
P1_cons,DLR,0.0038133050938771655,0.00033179185756689603,0.0008095397342081393,51
P1_cons,META,0.003833425054564637,0.0003287225525118603,0.0008020509295802068,52
P1_cons,PH,0.003332663836427594,0.00031416030860209837,0.0007665204763899686,53
P1_cons,JCI,0.002048108375015147,0.0003133344668169679,0.0007645055030746645,54
P1_cons,IRM,0.002250527215520113,0.0003121369152141415,0.0007615835941002793,55
P1_cons,JBL,0.0008712398257585837,0.00028630365221099437,0.0006985529548957588,56
P1_cons,MCHP,0.0010237662766986193,0.0002795324737264394,0.00068203194057413,57
P1_cons,TEL,0.0015940613143304427,0.00026867746965867083,0.0006555467906000144,58
P1_cons,TER,0.0004760490488161773,0.000267079531907018,0.0006516479785187283,59
P1_cons,NUE,0.002796151798287641,0.0002338835457020251,0.0005706530136445564,60
P1_cons,NDSN,0.0027521054145778698,0.0002209150272250078,0.0005390110948887858,61
P1_cons,FLEX,0.0004914589607259035,0.00021548563311079267,0.0005257639034104754,62
P1_cons,SWKS,0.001453295252960293,0.0002111460201738444,0.0005151756715915706,63
P1_cons,GLW,0.0004405556665855107,0.00020734471067903725,0.0005059008476081382,64
P1_cons,ADI,0.000977088704143549,0.0001990193058378503,0.0004855876727408172,65
P1_cons,CDNS,0.0010151241213925814,0.00015082020002865203,0.00036798656103185573,66
P1_cons,INTC,0.0002931648837105883,0.00013972054180798885,0.0003409044788142559,67
P1_cons,ORCL,0.0005066590576194552,0.0001301623570090729,0.00031758344122650675,68
P1_cons,SNPS,0.0009192749770512794,0.00012873024777540403,0.00031408923453655634,69
P1_cons,IEX,0.0018179932541388356,0.00012794583433575497,0.0003121753423389012,70
P1_cons,TXN,0.0006084790541479598,0.00011984738461687759,0.00029241591580868217,71
P1_cons,BKR,0.00134190103251541,0.00011898286557393708,0.0002903065737610135,72
P1_cons,EMR,0.0007859843531034239,0.00011718797821838419,0.000285927223877616,73
P1_cons,ON,0.0002849042815003548,0.00010008401911363533,0.0002441952338007541,74
P1_cons,CDW,0.002934330930212652,8.951452557450159e-05,0.00021840670163745404,75
P1_cons,DOV,0.0007857400118835078,7.289441899418415e-05,0.00017785526447378465,76
P1_cons,XYL,0.0011373558161162389,6.733147334112205e-05,0.00016428222028150443,77
P1_cons,CRH,0.0007047234353086476,6.476111343917045e-05,0.00015801079310693726,78
P1_cons,MLM,0.0013156912317863689,6.42794794543925e-05,0.000156835653213867,79
P1_cons,ETR,0.0016492642133951567,6.313386684315754e-05,0.00015404047030731342,80
P1_cons,EXPD,0.0017219734856537836,6.292177529441644e-05,0.00015352298763834514,81
P1_cons,CIEN,0.00012615895815854436,6.267084168536345e-05,0.00015291073413500024,82
P1_cons,NTAP,0.0004413426130737991,5.22372944272034e-05,0.00012745389762262142,83
P1_cons,QCOM,0.00022596479294754654,4.900541539721733e-05,0.00011956842837056098,84
P1_cons,NEE,0.0026655677132242585,4.6296695520859295e-05,0.00011295941636878492,85
P1_cons,FAST,0.004506999365493244,4.577553502847115e-05,0.00011168783565676391,86
P1_cons,MSFT,0.0010412413659653002,4.23218393440781e-05,0.00010326115542753124,87
P1_cons,VMC,0.0007201720672263821,3.992094823548124e-05,9.7403215560745e-05,88
P1_cons,GD,0.001843116956020513,3.1496612849712436e-05,7.684865982484818e-05,89
P1_cons,MMM,0.0006404561416618104,2.8144360358888868e-05,6.866949108237012e-05,90
P1_cons,EQT,0.001299419881994379,2.7975720524824926e-05,6.825802635431392e-05,91
P1_cons,NI,0.0012504259712222358,2.670620386959975e-05,6.51605296791986e-05,92
